#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0200.120.01.172.00 2022,,782.0,RETRIBUCIONES BASICAS,17069.16,17069.16,0.0,7730.65,9338.51,7730.65,7730.65,7730.65,7730.65
1 0200.121.99.151.00 2022,,33.0,COMPLEMENTOS VARIOS,360794.07,360794.07,0.0,134668.22,226125.85,134668.22,134668.22,134668.22,134668.22
1 0200.121.99.172.00 2022,,783.0,COMPLEMENTOS VARIOS,22883.66,22883.66,0.0,12552.49,10331.17,12552.49,12552.49,12552.49,12552.49
1 0200.160.01.151.00 2022,,35.0,SEGURIDAD SOCIAL,107644.78,107644.78,0.0,43716.19,63928.59,43716.19,43716.19,43716.19,43716.19
1 0200.160.01.172.00 2022,,784.0,SEGURIDAD SOCIAL,13396.95,13396.95,0.0,5527.9,7869.05,5527.9,5527.9,5527.9,5527.9
1 0200.160.04.151.00 2022,,36.0,CUOTAS ELKARKIDETZA,10349.0,10349.0,0.0,4269.44,6079.56,4269.44,4269.44,4269.44,4269.44
1 0200.160.04.172.00 2022,,983.0,CUOTAS ELKARKIDETZA,1478.41,1478.41,0.0,739.2,739.21,739.2,739.2,739.2,739.2
1 0200.201.01.152.20 2022,,1545.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,9232.36,9232.36,0.0,9232.36,0.0,9232.36,4318.3,4020.92,4020.92
1 0200.212.01.151.00 2022,,1817.0,"MAQUINARIA,INSTALACIONES Y UTILLAJE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.220.01.152.20 2022,,1546.0,ORDINARIO NO INVENTARIABLE,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
1 0200.221.01.152.20 2022,,1547.0,ENERGIA ELECTRICA. LOCAL TXONTA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.224.01.152.20 2022,,1235.0,SEGUROS,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0200.226.99.151.00 2022,,38.0,OTROS GASTOS DIVERSOS. EJECUC.SUBSID.,180000.0,180000.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0
1 0200.226.99.172.00 2022,,113.0,OTROS GASTOS DIVERSOS,22500.0,22500.0,0.0,11671.24,10828.76,11671.24,3266.84,3266.84,2968.74
1 0200.226.99.172.00 2021,,2106.0,OTROS GASTOS DIVERSOS,0.0,5370.3,0.0,0.0,5370.3,0.0,5243.85,4765.9,4765.9
1 0200.227.05.172.00 2022,,2075.0,TERRENOS/B.NATURALES CONVENIO CUSTODIA,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0200.227.07.151.00 2022,,39.0,ESTUDIOS Y TRABAJOS TECNICOS,70000.0,70000.0,0.0,16915.8,53084.2,16915.8,0.0,0.0,0.0
1 0200.227.07.151.00 2021,,2107.0,ESTUDIOS Y TRABAJOS TECNICOS,0.0,6413.0,0.0,0.0,6413.0,0.0,6413.0,6413.0,6413.0
1 0200.227.07.172.00 2022,,114.0,ESTUD/TRAB.TECNIC.CONTR.CALID.SUEL.AZIT.,223000.0,223000.0,0.0,25633.85,197366.15,25633.85,0.0,0.0,0.0
1 0200.227.07.172.00 2020,,2108.0,ESTUD/TRAB.TECNIC.CONTR.CALID.SUEL.AZIT.,0.0,8639.99,0.0,0.0,8639.99,0.0,0.0,0.0,0.0
1 0200.227.90.151.00 2022,,40.0,TRABAJOS EXTERNOS. ESTUDIOS Y PROYECTOS,32000.0,32000.0,0.0,1747.89,30252.11,1747.89,1747.69,1747.69,1747.69
1 0200.227.90.151.00 2021,,2111.0,TRABAJOS EXTERNOS. ESTUDIOS Y PROYECTOS,0.0,31460.0,0.0,0.0,31460.0,14520.0,0.0,0.0,0.0
1 0200.227.90.151.00 2020,,2110.0,TRABAJOS EXTERNOS. ESTUDIOS Y PROYECTOS,0.0,7259.72,0.0,0.0,7259.72,0.0,7259.52,7259.52,7259.52
1 0200.227.90.151.00 2019,,2109.0,TRABAJOS EXTERNOS. ESTUDIOS Y PROYECTOS,0.0,19844.0,0.0,0.0,19844.0,0.0,0.0,0.0,0.0
1 0200.227.90.172.00 2022,,1247.0,TRABAJOS EXTERIORES,7112.38,7112.38,0.0,2373.63,4738.75,2373.63,0.0,0.0,0.0
1 0200.227.90.172.00 2021,,2112.0,TRABAJOS EXTERIORES,0.0,2984.31,0.0,0.0,2984.31,0.0,2984.31,2984.31,2984.31
1 0200.227.99.151.00 2022,,41.0,CONTRATOS EXTERNOS. MEDICIONES,1500.0,1500.0,0.0,72.42,1427.58,72.42,72.42,72.42,72.42
1 0200.227.99.172.00 2022,,115.0,OTROS TRABAJOS EXTERIORES,193500.0,193500.0,14520.0,28903.76,150076.24,28903.76,8136.87,8136.87,8136.87
1 0200.227.99.172.00 2021,,2114.0,OTROS TRABAJOS EXTERIORES,0.0,4333.07,0.0,0.0,4333.07,0.0,1260.0,1260.0,1260.0
1 0200.227.99.172.00 2020,,2113.0,OTROS TRABAJOS EXTERIORES,0.0,1341.93,0.0,0.0,1341.93,0.0,1341.93,1341.93,1341.93
1 0200.230.01.151.00 2022,,42.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0200.230.01.172.00 2022,,986.0,"DIETAS, LOCOMOC. Y TRASLADO PERSONAL",100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.20 2022,,44.0,A FAMILIAS. MANTTO.ASCENSORES ZONALES,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.30 2022,,569.0,A FAMILIAS,18000.0,18000.0,0.0,18000.0,0.0,13620.0,4260.0,4260.0,4260.0
1 0200.480.01.152.30 2021,,2115.0,A FAMILIAS,0.0,12440.0,0.0,0.0,12440.0,-730.0,1130.0,1130.0,1130.0
1 0200.481.01.172.00 2022,,2073.0,A INSITUCIONES SIN FINES DE LUCRO,8450.0,8450.0,0.0,0.0,8450.0,0.0,0.0,0.0,0.0
1 0200.481.21.152.20 2022,,845.0,AYUDAS ASOCIAC.CUADRILLAS LOCALES,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0200.600.01.172.00 2022,,2074.0,INVERSIONES EN TERRENOS,100000.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
1 0200.600.04.151.00 2022,,1544.0,ADQUISICIONES DESTINADAS PATRIMONIO SUEL,500000.0,2975000.0,2475000.0,114136.5,385863.5,114136.5,114136.5,114136.5,114136.5
1 0200.600.04.151.00 2021,,2116.0,ADQUISICIONES DESTINADAS PATRIMONIO SUEL,0.0,354949.18,0.0,0.0,354949.18,49949.18,275000.0,275000.0,275000.0
1 0200.601.16.172.00 2022,,987.0,OBRAS VARIAS. MEDIO AMBIENTE,60000.0,60000.0,0.0,9704.81,50295.19,9704.81,0.0,0.0,0.0
1 0200.601.16.172.00 2021,,2117.0,OBRAS VARIAS. MEDIO AMBIENTE,0.0,7999.31,0.0,0.0,7999.31,0.0,7999.31,7999.31,7999.31
1 0200.625.02.172.00 2022,,2018.0,EQUIPOS MEDIDORES DEL AIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.771.05.152.20 2022,,1818.0,AYUDAS A LA DEMOLICION DE RUINAS INDUSTR,150000.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2022,,45.0,A FAMILIAS. REHAB.FACHADAS/ASCENSORES,250000.0,250000.0,0.0,190000.0,60000.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2020,,2118.0,A FAMILIAS. REHAB.FACHADAS/ASCENSORES,0.0,400000.0,0.0,0.0,400000.0,50000.0,0.0,0.0,0.0
1 0200.780.04.152.20 2018,,2119.0,A FAM. REHAB. EDIF. EN BARRIO TXONTA,0.0,1653970.73,0.0,0.0,1653970.73,281037.57,709599.43,709599.43,709599.43
1 0300.120.01.153.20 2022,,46.0,RETRIBUCIONES BASICAS,179907.92,179907.92,0.0,73734.62,106173.3,73734.62,73734.62,73734.62,73734.62
1 0300.121.99.153.20 2022,,47.0,COMPLEMENTOS VARIOS,298427.93,298427.93,0.0,150181.59,148246.34,150181.59,150181.59,150181.59,150181.59
1 0300.131.01.153.20 2022,,1279.0,LABORAL EVENTUAL,0.0,0.0,0.0,13312.88,-13312.88,13312.88,13312.88,13312.88,13312.88
1 0300.160.01.153.20 2022,,48.0,SEGURIDAD SOCIAL,116920.19,116920.19,0.0,51736.5,65183.69,51736.5,51736.5,51736.5,51736.5
1 0300.160.04.153.20 2022,,49.0,CUOTAS ELKARKIDETZA,8007.51,8007.51,0.0,4610.41,3397.1,4610.41,4610.41,4610.41,4610.41
1 0300.230.01.153.20 2022,,50.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0300.601.07.153.20 2022,,51.0,ERREBAL,75000.0,75000.0,0.0,8733.78,66266.22,8733.78,0.0,0.0,0.0
1 0300.601.07.153.20 2021,,2120.0,ERREBAL,0.0,203718.87,0.0,0.0,203718.87,156090.0,9769.34,9769.34,9769.34
1 0300.601.08.153.20 2022,,52.0,MEJORA ENTORNOS URBANOS-ACCESIBILIDAD,3914376.01,3914376.01,227982.62,996080.62,2690312.77,996080.62,1268.2,844.7,844.7
1 0300.601.08.153.20 2021,,2122.0,MEJORA ENTORNOS URBANOS-ACCESIBILIDAD,0.0,616462.0,0.0,0.0,616462.0,0.0,213765.19,176451.97,176451.97
1 0300.601.08.153.20 2020,,2121.0,MEJORA ENTORNOS URBANOS-ACCESIBILIDAD,0.0,107134.38,0.0,0.0,107134.38,4179.18,44399.98,44399.98,44399.98
1 0300.601.08.454.00 2022,,2040.0,ACCESIBILIDAD MIRABASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.08.454.00 2021,,2123.0,ACCESIBILIDAD MIRABASO,0.0,278601.16,0.0,0.0,278601.16,226757.66,0.0,0.0,0.0
1 0300.601.14.153.20 2022,,54.0,OBRAS MENORES,633000.0,633000.0,96516.38,89831.51,446652.11,89831.51,76473.93,76473.93,69226.71
1 0300.601.14.153.20 2021,,2124.0,OBRAS MENORES,0.0,73713.85,0.0,0.0,73713.85,0.0,62332.16,62332.16,62332.16
1 0300.601.20.153.20 2022,,1285.0,OBRAS EN EDIFICIOS MUNICIPALES,171000.0,171000.0,24411.39,104367.63,42220.98,104367.63,5825.42,5825.42,5825.42
1 0300.601.20.153.20 2021,,2125.0,OBRAS EN EDIFICIOS MUNICIPALES,0.0,1447155.87,0.0,0.0,1447155.87,1183167.86,210558.56,157388.87,157388.87
1 0300.601.21.323.00 2022,,198.0,OBRAS MENORES EN CENTROS DE ENSEÑANZA,388000.0,450199.68,0.0,409850.46,40349.22,409850.46,0.0,0.0,0.0
1 0300.601.21.323.00 2021,,2126.0,OBRAS MENORES EN CENTROS DE ENSEÑANZA,0.0,181.5,0.0,0.0,181.5,0.0,0.0,0.0,0.0
1 0300.601.23.153.20 2022,,55.0,ASFALTADOS,290000.0,290000.0,0.0,0.0,290000.0,0.0,0.0,0.0,0.0
1 0300.601.23.153.20 2021,,2127.0,ASFALTADOS,0.0,199709.58,0.0,0.0,199709.58,173697.73,100737.85,0.0,0.0
1 0300.601.37.454.00 2022,,369.0,INFRAESTRUCTURA RURAL,125000.0,125000.0,0.0,108693.83,16306.17,108693.83,0.0,0.0,0.0
1 0300.601.37.454.00 2021,,2128.0,INFRAESTRUCTURA RURAL,0.0,31677.87,0.0,0.0,31677.87,0.0,31677.87,31677.87,31677.87
1 0300.601.53.153.20 2022,,2039.0,ACONDICIONAMIENTO APARCAMIENTO LEGARRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.53.153.20 2021,,2129.0,ACONDICIONAMIENTO APARCAMIENTO LEGARRE,0.0,718747.44,0.0,0.0,718747.44,640259.75,0.0,0.0,0.0
1 0300.625.01.153.20 2022,,1548.0,MOBILIARIO,20000.0,20000.0,0.0,10253.06,9746.94,10253.06,0.0,0.0,0.0
1 0300.643.01.153.20 2022,,56.0,INVESTIGACIONES/ESTUDIOS Y PROYECTOS,366000.0,366000.0,0.0,155666.08,210333.92,155666.08,35574.0,35574.0,34636.25
1 0300.643.01.153.20 2021,,2131.0,INVESTIGACIONES/ESTUDIOS Y PROYECTOS,0.0,117609.1,0.0,0.0,117609.1,0.0,70857.6,70857.6,70857.6
1 0300.643.01.153.20 2020,,2130.0,INVESTIGACIONES/ESTUDIOS Y PROYECTOS,0.0,63762.86,0.0,0.0,63762.86,0.0,0.0,0.0,0.0
1 0400.120.01.153.40 2022,,61.0,RETRIBUCIONES BASICAS,147551.68,147551.68,0.0,34995.0,112556.68,34995.0,34995.0,34995.0,34995.0
1 0400.120.01.165.00 2022,,91.0,RETRIBUCIONES BASICAS,15290.57,15290.57,0.0,6438.29,8852.28,6438.29,6438.29,6438.29,6438.29
1 0400.121.99.153.40 2022,,62.0,COMPLEMENTOS VARIOS,121680.39,121680.39,0.0,83999.64,37680.75,83999.64,83999.64,83999.64,83999.64
1 0400.121.99.165.00 2022,,92.0,COMPLEMENTOS VARIOS,28586.76,28586.76,0.0,15133.24,13453.52,15133.24,15133.24,15133.24,15133.24
1 0400.130.03.153.40 2022,,63.0,REMUNERACIONES PERSONAL LABORAL FIJO,357596.33,357596.33,0.0,123102.69,234493.64,123102.69,123102.69,123102.69,123102.69
1 0400.130.03.165.00 2022,,580.0,REMUN.PERSONAL LABORAL FIJO,88045.3,88045.3,0.0,31411.72,56633.58,31411.72,31411.72,31411.72,31411.72
1 0400.130.03.171.00 2022,,102.0,REMUNERACIONES PERSONAL LABORAL FIJO,33318.83,33318.83,0.0,65760.7,-32441.87,65760.7,65760.7,65760.7,65760.7
1 0400.130.03.323.00 2022,,188.0,REMUNERACIONES PERSONAL LABORAL FIJO,150862.18,150862.18,0.0,19282.94,131579.24,19282.94,19282.94,19282.94,19282.94
1 0400.130.03.920.40 2022,,433.0,REMUNERACIONES PERSONAL LABORAL FIJO,113005.07,113005.07,0.0,41485.74,71519.33,41485.74,41485.74,41485.74,41485.74
1 0400.131.01.153.40 2022,,64.0,LABORAL EVENTUAL,359845.26,359845.26,0.0,232820.07,127025.19,232820.07,232820.07,232820.07,232820.07
1 0400.131.01.164.00 2022,,82.0,LABORAL EVENTUAL,88478.81,88478.81,0.0,43317.71,45161.1,43317.71,43317.71,43317.71,43317.71
1 0400.131.01.165.00 2022,,1541.0,LABORAL EVENTUAL,0.0,0.0,0.0,13378.97,-13378.97,13378.97,13378.97,13378.97,13378.97
1 0400.131.01.171.00 2022,,103.0,LABORAL EVENTUAL,130226.61,130226.61,0.0,41525.4,88701.21,41525.4,41525.4,41525.4,41525.4
1 0400.131.01.323.00 2022,,643.0,LABORAL EVENTUAL,0.0,0.0,0.0,39856.62,-39856.62,39856.62,39856.62,39856.62,39856.62
1 0400.131.01.920.40 2022,,811.0,LABORAL EVENTUAL,0.0,0.0,0.0,38772.08,-38772.08,38772.08,38772.08,38772.08,38772.08
1 0400.160.01.153.40 2022,,65.0,SEGURIDAD SOCIAL,381968.33,381968.33,0.0,100914.19,281054.14,100914.19,100914.19,100914.19,100914.19
1 0400.160.01.164.00 2022,,83.0,SEGURIDAD SOCIAL,33306.03,33306.03,0.0,14992.78,18313.25,14992.78,14992.78,14992.78,14992.78
1 0400.160.01.165.00 2022,,94.0,SEGURIDAD SOCIAL,58262.8,58262.8,0.0,26124.3,32138.5,26124.3,26124.3,26124.3,26124.3
1 0400.160.01.171.00 2022,,104.0,SEGURIDAD SOCIAL,62393.38,62393.38,0.0,30754.61,31638.77,30754.61,30754.61,30754.61,30754.61
1 0400.160.01.323.00 2022,,189.0,SEGURIDAD SOCIAL,52304.82,52304.82,0.0,19113.99,33190.83,19113.99,19113.99,19113.99,19113.99
1 0400.160.01.920.40 2022,,434.0,SEGURIDAD SOCIAL,35384.26,35384.26,0.0,26147.03,9237.23,26147.03,26147.03,26147.03,26147.03
1 0400.160.04.153.40 2022,,66.0,CUOTAS ELKARKIDETZA,17897.27,17897.27,0.0,8442.84,9454.43,8442.84,8442.84,8442.84,8442.84
1 0400.160.04.164.00 2022,,84.0,CUOTAS ELKARKIDETZA,4054.95,4054.95,0.0,1013.88,3041.07,1013.88,1013.88,1013.88,1013.88
1 0400.160.04.165.00 2022,,95.0,CUOTAS ELKARKIDETZA,3041.21,3041.21,0.0,1520.82,1520.39,1520.82,1520.82,1520.82,1520.82
1 0400.160.04.171.00 2022,,105.0,CUOTAS ELKARKIDETZA,1013.74,1013.74,0.0,1013.88,-0.14,1013.88,1013.88,1013.88,1013.88
1 0400.160.04.323.00 2022,,190.0,CUOTAS ELKARKIDETZA,2027.47,2027.47,0.0,1013.88,1013.59,1013.88,1013.88,1013.88,1013.88
1 0400.160.04.920.40 2022,,435.0,CUOTAS ELKARKIDETZA,3041.21,3041.21,0.0,1520.82,1520.39,1520.82,1520.82,1520.82,1520.82
1 0400.210.01.153.40 2022,,67.0,INFRAESTRUCTURA Y BIENES NATURALES,115000.0,115000.0,0.0,124913.15,-9913.15,124913.15,95928.54,93356.56,90374.7
1 0400.210.01.153.40 2021,,2132.0,INFRAESTRUCTURA Y BIENES NATURALES,0.0,11498.55,0.0,0.0,11498.55,0.0,1944.98,1944.98,1944.98
1 0400.210.01.454.00 2022,,367.0,INFRAESTRUCTURA Y BIENES NATURALES,124000.0,124000.0,0.0,67474.6,56525.4,67474.6,31609.52,31609.52,31609.52
1 0400.210.01.454.00 2021,,2133.0,INFRAESTRUCTURA Y BIENES NATURALES,0.0,7136.17,0.0,0.0,7136.17,0.0,0.0,0.0,0.0
1 0400.211.01.323.00 2022,,191.0,EDIFIC/OTRAS CONSTRUCCIONES. MANTTO.,141108.05,137108.05,0.0,43196.66,93911.39,43196.66,12149.57,12036.93,12036.93
1 0400.211.01.323.00 2021,,2134.0,EDIFIC/OTRAS CONSTRUCCIONES. MANTTO.,0.0,40286.36,0.0,-901.45,41187.81,-901.45,18474.34,17835.46,17835.46
1 0400.211.01.333.10 2022,,226.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,60000.0,60000.0,0.0,12694.04,47305.96,12694.04,2834.7,2488.35,2488.35
1 0400.211.01.333.10 2021,,2135.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,2154.03,0.0,0.0,2154.03,0.0,1014.83,1014.83,1014.83
1 0400.211.01.333.20 2022,,233.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,60000.0,60000.0,0.0,6667.11,53332.89,6667.11,5926.32,5926.32,5926.32
1 0400.211.01.333.20 2021,,2137.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,4206.86,0.0,-21.21,4228.07,-21.21,0.0,0.0,0.0
1 0400.211.01.333.20 2020,,2136.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,7308.67,0.0,0.0,7308.67,0.0,0.0,0.0,0.0
1 0400.211.01.334.50 2022,,1751.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,83645.72,83645.72,0.0,13588.96,70056.76,13588.96,7667.0,7284.93,6916.91
1 0400.211.01.334.50 2021,,2138.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,2291.56,0.0,-101.06,2392.62,-101.06,0.0,0.0,0.0
1 0400.211.01.920.40 2022,,436.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,179981.61,179981.61,0.0,71769.11,108212.5,71769.11,54739.27,53852.46,52540.22
1 0400.211.01.920.40 2021,,2139.0,EDIFICIOS Y OTRAS CONSTRUCCIONES,0.0,4977.55,0.0,0.0,4977.55,0.0,1330.94,1330.94,1330.94
1 0400.212.01.134.00 2022,,28.0,MAQUINARIA/INSTALAC/UTILLAJE. MANTTO,500824.88,500824.88,0.0,424186.66,76638.22,424186.66,127157.52,123990.54,87126.34
1 0400.212.01.134.00 2021,,2140.0,MAQUINARIA/INSTALAC/UTILLAJE. MANTTO,0.0,43840.31,0.0,0.0,43840.31,0.0,31014.52,31014.52,31014.52
1 0400.212.01.163.00 2022,,77.0,MAQUINARIA/INSTALAC/UTILLAJE,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0400.212.01.164.00 2022,,85.0,MAQUIN/INSTAL/UTILLAJE.MANTTO,8000.0,8000.0,0.0,5834.49,2165.51,5834.49,3365.99,3365.99,3365.99
